block,component,device,latency_ms,order_position,training_seed,variant
35,end_to_end_policy,cpu,0.745817,7,42,Historical KD+PPO Local
36,end_to_end_policy,cpu,2.26556,0,42,Privileged Global Teacher
36,end_to_end_policy,cpu,1.107982,1,42,Geo-Residual Student
36,end_to_end_policy,cpu,0.491,2,42,Predictive Prior Only
36,end_to_end_policy,cpu,1.559577,3,42,Predictive Student (No Switch)
36,end_to_end_policy,cpu,0.698392,4,42,Historical PPO-only Local (No KD)
36,end_to_end_policy,cpu,0.755204,5,42,Historical KD+PPO Local
36,end_to_end_policy,cpu,2.260202,6,42,SwitchGLOBE Exact
36,end_to_end_policy,cpu,0.872526,7,42,FastSwitchGLOBE
37,end_to_end_policy,cpu,2.289006,0,42,SwitchGLOBE Exact
37,end_to_end_policy,cpu,2.291028,1,42,Privileged Global Teacher
37,end_to_end_policy,cpu,1.591398,2,42,Predictive Student (No Switch)
37,end_to_end_policy,cpu,1.03791,3,42,Geo-Residual Student
37,end_to_end_policy,cpu,0.741966,4,42,Historical PPO-only Local (No KD)
37,end_to_end_policy,cpu,0.758838,5,42,Historical KD+PPO Local
37,end_to_end_policy,cpu,0.865982,6,42,FastSwitchGLOBE
37,end_to_end_policy,cpu,0.521692,7,42,Predictive Prior Only
38,end_to_end_policy,cpu,0.732189,0,42,Historical KD+PPO Local
38,end_to_end_policy,cpu,2.246199,1,42,SwitchGLOBE Exact
38,end_to_end_policy,cpu,0.874489,2,42,FastSwitchGLOBE
38,end_to_end_policy,cpu,1.078796,3,42,Geo-Residual Student
38,end_to_end_policy,cpu,0.73658,4,42,Historical PPO-only Local (No KD)
38,end_to_end_policy,cpu,0.560243,5,42,Predictive Prior Only
38,end_to_end_policy,cpu,1.519061,6,42,Predictive Student (No Switch)
38,end_to_end_policy,cpu,2.235462,7,42,Privileged Global Teacher
39,end_to_end_policy,cpu,0.877497,0,42,FastSwitchGLOBE
39,end_to_end_policy,cpu,0.534853,1,42,Predictive Prior Only
39,end_to_end_policy,cpu,1.027982,2,42,Geo-Residual Student
39,end_to_end_policy,cpu,1.559871,3,42,Predictive Student (No Switch)
39,end_to_end_policy,cpu,2.231979,4,42,Privileged Global Teacher
39,end_to_end_policy,cpu,0.794516,5,42,Historical KD+PPO Local
39,end_to_end_policy,cpu,2.24368,6,42,SwitchGLOBE Exact
39,end_to_end_policy,cpu,0.784583,7,42,Historical PPO-only Local (No KD)
40,end_to_end_policy,cpu,0.525842,0,42,Predictive Prior Only
40,end_to_end_policy,cpu,1.029992,1,42,Geo-Residual Student
40,end_to_end_policy,cpu,2.273117,2,42,SwitchGLOBE Exact
40,end_to_end_policy,cpu,0.846603,3,42,FastSwitchGLOBE
