block,component,device,latency_ms,order_position,training_seed,variant
39,end_to_end_policy,cpu,0.466945,3,2718,Shortest-Oracle Only
39,end_to_end_policy,cpu,0.43938,4,2718,Existing Phase11 Predictive Prior
39,end_to_end_policy,cpu,0.466769,5,2718,Risk-Oracle Only
39,end_to_end_policy,cpu,0.448122,6,2718,Shortest+Risk (No Teacher)
40,end_to_end_policy,cpu,0.491625,0,2718,Teacher Distillation Only
40,end_to_end_policy,cpu,0.437944,1,2718,Risk-Oracle Only
40,end_to_end_policy,cpu,0.473753,2,2718,Fixed Manual Prior
40,end_to_end_policy,cpu,0.437653,3,2718,Shortest-Oracle Only
40,end_to_end_policy,cpu,0.471611,4,2718,Shortest+Risk (No Teacher)
40,end_to_end_policy,cpu,0.447422,5,2718,Teacher+Shortest+Risk
40,end_to_end_policy,cpu,0.574777,6,2718,Existing Phase11 Predictive Prior
41,end_to_end_policy,cpu,0.465737,0,2718,Teacher+Shortest+Risk
41,end_to_end_policy,cpu,0.481221,1,2718,Teacher Distillation Only
41,end_to_end_policy,cpu,0.447968,2,2718,Existing Phase11 Predictive Prior
41,end_to_end_policy,cpu,0.47179,3,2718,Risk-Oracle Only
41,end_to_end_policy,cpu,0.441386,4,2718,Fixed Manual Prior
41,end_to_end_policy,cpu,0.466325,5,2718,Shortest+Risk (No Teacher)
41,end_to_end_policy,cpu,0.446669,6,2718,Shortest-Oracle Only
42,end_to_end_policy,cpu,0.473453,0,2718,Teacher+Shortest+Risk
42,end_to_end_policy,cpu,0.464165,1,2718,Teacher Distillation Only
42,end_to_end_policy,cpu,0.454879,2,2718,Shortest-Oracle Only
42,end_to_end_policy,cpu,0.461398,3,2718,Existing Phase11 Predictive Prior
42,end_to_end_policy,cpu,0.466007,4,2718,Fixed Manual Prior
42,end_to_end_policy,cpu,0.468388,5,2718,Shortest+Risk (No Teacher)
42,end_to_end_policy,cpu,0.43631,6,2718,Risk-Oracle Only
43,end_to_end_policy,cpu,0.484571,0,2718,Teacher Distillation Only
43,end_to_end_policy,cpu,0.445468,1,2718,Teacher+Shortest+Risk
43,end_to_end_policy,cpu,0.469273,2,2718,Risk-Oracle Only
43,end_to_end_policy,cpu,0.435878,3,2718,Fixed Manual Prior
43,end_to_end_policy,cpu,0.467327,4,2718,Shortest-Oracle Only
43,end_to_end_policy,cpu,0.438341,5,2718,Shortest+Risk (No Teacher)
43,end_to_end_policy,cpu,0.462698,6,2718,Existing Phase11 Predictive Prior
44,end_to_end_policy,cpu,0.453483,0,2718,Shortest-Oracle Only
44,end_to_end_policy,cpu,0.500133,1,2718,Teacher+Shortest+Risk
44,end_to_end_policy,cpu,0.444141,2,2718,Existing Phase11 Predictive Prior
44,end_to_end_policy,cpu,0.469916,3,2718,Teacher Distillation Only
44,end_to_end_policy,cpu,0.44531,4,2718,Shortest+Risk (No Teacher)
44,end_to_end_policy,cpu,0.44885,5,2718,Risk-Oracle Only
44,end_to_end_policy,cpu,0.459306,6,2718,Fixed Manual Prior
45,end_to_end_policy,cpu,0.470323,0,2718,Risk-Oracle Only
45,end_to_end_policy,cpu,0.461025,1,2718,Teacher+Shortest+Risk
45,end_to_end_policy,cpu,0.445323,2,2718,Shortest-Oracle Only
45,end_to_end_policy,cpu,0.472868,3,2718,Existing Phase11 Predictive Prior
45,end_to_end_policy,cpu,0.434155,4,2718,Fixed Manual Prior
45,end_to_end_policy,cpu,0.465858,5,2718,Shortest+Risk (No Teacher)
45,end_to_end_policy,cpu,0.436106,6,2718,Teacher Distillation Only
46,end_to_end_policy,cpu,0.481158,0,2718,Teacher Distillation Only
46,end_to_end_policy,cpu,0.437577,1,2718,Fixed Manual Prior
46,end_to_end_policy,cpu,0.46856,2,2718,Shortest+Risk (No Teacher)
46,end_to_end_policy,cpu,0.437309,3,2718,Shortest-Oracle Only
46,end_to_end_policy,cpu,0.459749,4,2718,Existing Phase11 Predictive Prior
46,end_to_end_policy,cpu,0.44343,5,2718,Risk-Oracle Only
46,end_to_end_policy,cpu,0.437928,6,2718,Teacher+Shortest+Risk
47,end_to_end_policy,cpu,0.471588,0,2718,Risk-Oracle Only
47,end_to_end_policy,cpu,0.441827,1,2718,Existing Phase11 Predictive Prior
47,end_to_end_policy,cpu,0.461363,2,2718,Shortest+Risk (No Teacher)
47,end_to_end_policy,cpu,0.431172,3,2718,Teacher Distillation Only
47,end_to_end_policy,cpu,0.467119,4,2718,Fixed Manual Prior
47,end_to_end_policy,cpu,0.430156,5,2718,Shortest-Oracle Only
47,end_to_end_policy,cpu,0.56972,6,2718,Teacher+Shortest+Risk
48,end_to_end_policy,cpu,0.469532,0,2718,Existing Phase11 Predictive Prior
48,end_to_end_policy,cpu,0.492103,1,2718,Fixed Manual Prior
48,end_to_end_policy,cpu,0.449147,2,2718,Shortest-Oracle Only
48,end_to_end_policy,cpu,0.470449,3,2718,Teacher Distillation Only
48,end_to_end_policy,cpu,0.439243,4,2718,Shortest+Risk (No Teacher)
48,end_to_end_policy,cpu,0.479803,5,2718,Teacher+Shortest+Risk
48,end_to_end_policy,cpu,0.438764,6,2718,Risk-Oracle Only
49,end_to_end_policy,cpu,0.479508,0,2718,Risk-Oracle Only
49,end_to_end_policy,cpu,0.439322,1,2718,Shortest-Oracle Only
49,end_to_end_policy,cpu,0.447091,2,2718,Fixed Manual Prior
49,end_to_end_policy,cpu,0.459739,3,2718,Teacher Distillation Only
49,end_to_end_policy,cpu,0.456104,4,2718,Teacher+Shortest+Risk
49,end_to_end_policy,cpu,0.462523,5,2718,Existing Phase11 Predictive Prior
49,end_to_end_policy,cpu,0.436011,6,2718,Shortest+Risk (No Teacher)
50,end_to_end_policy,cpu,0.47978,0,2718,Fixed Manual Prior
50,end_to_end_policy,cpu,0.436959,1,2718,Shortest-Oracle Only
50,end_to_end_policy,cpu,0.472141,2,2718,Shortest+Risk (No Teacher)
50,end_to_end_policy,cpu,0.436656,3,2718,Risk-Oracle Only
50,end_to_end_policy,cpu,0.480921,4,2718,Teacher Distillation Only
50,end_to_end_policy,cpu,0.435456,5,2718,Teacher+Shortest+Risk
50,end_to_end_policy,cpu,0.465518,6,2718,Existing Phase11 Predictive Prior
51,end_to_end_policy,cpu,0.47052,0,2718,Shortest+Risk (No Teacher)
51,end_to_end_policy,cpu,0.47005,1,2718,Risk-Oracle Only
51,end_to_end_policy,cpu,0.435904,2,2718,Teacher+Shortest+Risk
51,end_to_end_policy,cpu,0.466232,3,2718,Shortest-Oracle Only
51,end_to_end_policy,cpu,0.547698,4,2718,Teacher Distillation Only
51,end_to_end_policy,cpu,0.491228,5,2718,Existing Phase11 Predictive Prior
51,end_to_end_policy,cpu,0.445288,6,2718,Fixed Manual Prior
